Item_Id,vtex_sku_id,status
1119351,N/A,Unmapped
1119352,N/A,Unmapped
1119353,N/A,Unmapped
1119362,N/A,Unmapped
1119363,N/A,Unmapped
1119364,N/A,Unmapped
1119365,N/A,Unmapped
1119367,N/A,Unmapped
1119368,N/A,Unmapped
1119369,N/A,Unmapped
1119370,N/A,Unmapped
1119377,N/A,Unmapped
1119384,N/A,Unmapped
1119387,N/A,Unmapped
1119388,N/A,Unmapped
1119394,N/A,Unmapped
1119397,N/A,Unmapped
1119398,N/A,Unmapped
1119400,N/A,Unmapped
1119401,N/A,Unmapped
1119402,N/A,Unmapped
1119403,N/A,Unmapped
1119404,N/A,Unmapped
1119405,N/A,Unmapped
1119406,N/A,Unmapped
1119408,N/A,Unmapped
1119413,N/A,Unmapped
1119414,N/A,Unmapped
1119415,N/A,Unmapped
1119416,N/A,Unmapped
1119418,N/A,Unmapped
1119419,N/A,Unmapped
1119421,N/A,Unmapped
1119423,N/A,Unmapped
1119424,N/A,Unmapped
1119432,N/A,Unmapped
1119434,N/A,Unmapped
1119435,N/A,Unmapped
1119437,N/A,Unmapped
1119441,N/A,Unmapped
1119442,N/A,Unmapped
1119443,N/A,Unmapped
1119450,N/A,Unmapped
1119451,N/A,Unmapped
1119458,N/A,Unmapped
1119463,N/A,Unmapped
1119473,N/A,Unmapped
1119474,N/A,Unmapped
1119475,N/A,Unmapped
1119476,N/A,Unmapped
1119477,N/A,Unmapped
1119478,N/A,Unmapped
1119479,N/A,Unmapped
1119480,N/A,Unmapped
1119481,N/A,Unmapped
1119482,N/A,Unmapped
1119486,N/A,Unmapped
1119489,N/A,Unmapped
1119490,N/A,Unmapped
1119496,N/A,Unmapped
1119498,N/A,Unmapped
1119506,N/A,Unmapped
1119507,N/A,Unmapped
1119512,N/A,Unmapped
1119514,N/A,Unmapped
1119516,N/A,Unmapped
1119530,N/A,Unmapped
1119531,N/A,Unmapped
1119532,N/A,Unmapped
1119533,N/A,Unmapped
1119665,8632,Mapped
1119667,8631,Mapped
1120037,8312,Mapped
1120040,7536,Mapped
1120041,21763,Mapped
1120081,21801,Mapped
1120087,16336,Mapped
1120248,N/A,Unmapped
1120249,N/A,Unmapped
1120252,N/A,Unmapped
1120253,N/A,Unmapped
1120254,N/A,Unmapped
1120256,N/A,Unmapped
1120265,N/A,Unmapped
1120268,N/A,Unmapped
1120274,N/A,Unmapped
1120275,N/A,Unmapped
1120276,N/A,Unmapped
1120278,N/A,Unmapped
1120280,N/A,Unmapped
1120281,N/A,Unmapped
1120299,N/A,Unmapped
1120300,N/A,Unmapped
1120304,N/A,Unmapped
1120305,N/A,Unmapped
1120308,N/A,Unmapped
1120309,N/A,Unmapped
1120311,N/A,Unmapped
1120312,N/A,Unmapped
1120313,N/A,Unmapped
1120315,N/A,Unmapped
1120316,N/A,Unmapped
1120319,N/A,Unmapped
1120320,N/A,Unmapped
1120321,N/A,Unmapped
1120322,N/A,Unmapped
1120323,N/A,Unmapped
1120329,N/A,Unmapped
1120331,N/A,Unmapped
1120332,N/A,Unmapped
1120333,N/A,Unmapped
1120342,N/A,Unmapped
1120344,N/A,Unmapped
1120353,N/A,Unmapped
1120354,N/A,Unmapped
1120357,N/A,Unmapped
1120361,N/A,Unmapped
1120362,N/A,Unmapped
1120364,N/A,Unmapped
1120365,N/A,Unmapped
1120366,N/A,Unmapped
1120371,N/A,Unmapped
1120374,N/A,Unmapped
1120376,8754,Mapped
1120378,8753,Mapped
1120381,N/A,Unmapped
1120384,N/A,Unmapped
