Item_Id,vtex_sku_id,product_name,Location_Id,unit_of_measure,hana_qty,pub_qty,unit_cost_clp,total_cost_clp,action,case_reason
1988751,N/A,Unknown Product,J513,UN,3.0,3.0,7241.0,21723.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1237297,N/A,Unknown Product,J513,UN,1.0,1.0,21723.0,21723.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1786358,80939,Hot Wheels Paquete Mix de 20 Autitos,J748,UN,1.0,1.0,21722.0,21722.0,NO PUBLICAR,REGLA DDS
1220629,N/A,Unknown Product,J781,UN,2.0,2.0,10861.0,21721.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042767,N/A,Unknown Product,J989,UN,36.0,36.0,603.0,21721.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042767,N/A,Unknown Product,J660,UN,36.0,36.0,603.0,21721.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042767,N/A,Unknown Product,J624,UN,36.0,36.0,603.0,21721.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042767,N/A,Unknown Product,J508,UN,36.0,36.0,603.0,21721.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042767,N/A,Unknown Product,J511,UN,36.0,36.0,603.0,21721.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042767,N/A,Unknown Product,J762,UN,36.0,36.0,603.0,21720.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2021702,146281,Pañales Adulto Pants Nocturno Plenitud Talla P/M 7 un.,J508,UN,4.0,4.0,5430.0,21718.0,NO PUBLICAR,LISTADO BAJA
1120312,N/A,Unknown Product,J614,UN,2.0,2.0,10859.0,21718.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1922128,N/A,Unknown Product,J504,UN,3.0,3.0,7237.0,21712.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1120420,N/A,Unknown Product,J504,UN,2.0,2.0,10855.0,21710.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1581039,N/A,Unknown Product,J534,UN,2.0,2.0,10855.0,21710.0,NO PUBLICAR,JERARQUIA DESHABILITADA
324255,N/A,Unknown Product,J508,UN,10.0,10.0,2171.0,21709.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2019838,N/A,Unknown Product,J781,KG,1.31,1.31,16570.0,21707.0,NO PUBLICAR,JERARQUIA CON STOCK REGULAR
899541,N/A,Unknown Product,J519,KG,12.648,6.148,1716.0,21707.0,NO PUBLICAR,REGLA DDS
1993289,N/A,Unknown Product,J521,UN,2.0,2.0,10852.0,21703.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2077631,N/A,Unknown Product,J507,UN,15.0,15.0,1447.0,21702.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1728642,N/A,Unknown Product,J781,UN,6.0,6.0,3617.0,21702.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2039934,158092,Unknown Product,J511,UN,2.0,2.0,10851.0,21702.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1818586,N/A,Unknown Product,J532,UN,4.0,4.0,5425.0,21699.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042662,N/A,Unknown Product,J506,UN,30.0,30.0,723.0,21699.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2041944,N/A,Unknown Product,J843,UN,18.0,18.0,1206.0,21699.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2041945,N/A,Unknown Product,J843,UN,18.0,18.0,1206.0,21699.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042661,N/A,Unknown Product,J955,UN,30.0,30.0,723.0,21699.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042662,N/A,Unknown Product,J796,UN,30.0,30.0,723.0,21698.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2056612,167873,Unknown Product,J508,UN,4.0,4.0,5424.0,21695.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1878536,103463,Asadera opal oval pequeña 24.5 x 15 cm 0.6 L,J501,UN,9.0,9.0,2411.0,21695.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1469147,18379,Cinta adhesiva transparente 12.5 mm x 9.1 m,J511,UN,10.0,10.0,2170.0,21695.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2022625,N/A,Unknown Product,J781,UN,5.0,5.0,4339.0,21694.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2056576,167849,Unknown Product,J519,UN,13.0,13.0,1669.0,21694.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2056612,167873,Unknown Product,J695,UN,4.0,4.0,5424.0,21694.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2056576,167849,Unknown Product,J780,UN,13.0,13.0,1669.0,21693.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1784673,N/A,Unknown Product,J843,UN,12.0,12.0,1808.0,21693.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1629645,N/A,Unknown Product,J760,UN,7.0,7.0,3099.0,21692.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1699105,89998,Frambuesas Pote 70 g,J504,UN,15.0,15.0,1446.0,21691.0,NO PUBLICAR,REGLA DDS
1784673,N/A,Unknown Product,J633,UN,12.0,12.0,1808.0,21690.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1784673,N/A,Unknown Product,J781,UN,12.0,12.0,1808.0,21690.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1784673,N/A,Unknown Product,J504,UN,12.0,12.0,1808.0,21690.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1784673,N/A,Unknown Product,J514,UN,12.0,12.0,1808.0,21690.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1968075,137781,Molde 3 Helados Kids,J514,UN,46.0,46.0,472.0,21689.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2028262,N/A,Unknown Product,J592,UN,40.0,40.0,542.0,21689.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1242430,N/A,Unknown Product,J781,UN,2.0,2.0,10844.0,21688.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1242430,N/A,Unknown Product,J614,UN,2.0,2.0,10844.0,21688.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1242430,N/A,Unknown Product,J513,UN,2.0,2.0,10844.0,21688.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1728646,N/A,Unknown Product,J781,UN,4.0,4.0,5422.0,21686.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2028262,N/A,Unknown Product,J619,UN,40.0,40.0,542.0,21686.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1784662,N/A,Espejo de Metal Redondo (surtido),J534,UN,13.0,13.0,1668.0,21685.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1122817,N/A,Unknown Product,J504,UN,4.0,4.0,5421.0,21684.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1139779,N/A,Unknown Product,J614,UN,4.0,4.0,5421.0,21684.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2044950,N/A,Unknown Product,J781,UN,24.0,24.0,903.0,21683.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042180,N/A,Unknown Product,J532,UN,13.0,13.0,1668.0,21682.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1126982,N/A,Unknown Product,J633,UN,3.0,3.0,7227.0,21681.0,NO PUBLICAR,JERARQUIA DESHABILITADA
